AR108971;4;24;El hombre que quería recordar;GA.254 EL HOMBRE QUE QUERIA RECORDAR;;;13;;AUT;6427;6427;14;;;499;;;;;;;9788467503913;9788467503913;1;17;34;144;21,00;13,00;1,00;38,50;38,50;0,00;;;;;PGR;;
AR109596;4;24;Memorias de Idhún II. Tríada;MID.MEMORIAS DE IDHUN II-TRIADA;;;13;;AUT;2536;2536;12;;;344;;;;4;;;9788467505597;9788467505597;2;10;8;766;22,00;14,50;4,90;208,00;208,00;;;;;;PGR;;
AR109639;4;24;Hoy no voy al cole;BVBGM.2 ¡HOY NO VOY AL COLE!;;;13;;AUT,ILU;7738,7738;7738;6;;;59;24;;2;;;;9788467508611;9788467508611;2;10;22;48;24,50;20,00;1,00;79,00;79,00;;;;;;PGR;;
AR109641;4;24;¡No tengo sueño!;BVBGM.4 ¡NO TENGO SUEÑO!;;;13;;AUT,ILU;7738,7738;7738;6;;;59;24;;4;;;;9788467508635;9788467508635;2;10;22;48;24,50;20,00;1,00;79,00;79,00;;;;;;PGR;;
AR109642;4;24;El dentista es un monstruo;BVBGM.5 ¡EL DENTISTA ES UN MONSTRUO!;;;13;;AUT,ILU;7738,7738;7738;6;;;59;24;;5;;;;9788467520125;9788467520125;2;10;25;48;24,50;20,00;1,00;79,00;79,00;;;;;;PGR;;
AR109708;4;24;¿Quién quiere adoptarme?;BVB.111 ¿QUIEN QUIERE ADOPTARME?;;;13;;AUT,ILU;2303,2563;2303;6;;;59;;;;3;;;9788467507348;9788467507348;1;10;58;48;19,00;12,00;0,60;32,00;32,00;;;;;;PGR;;
AR109967;4;24;Siete reporteros y un periódico;BVN.175 SIETE REPORTEROS Y UN PERIODICO;;;13;;AUT,ILU;7396,7176;7396;9;;;373;;;0;3;;;9788434844483;9788434844483;1;17;30;142;19,00;12,00;0,90;32,50;32,50;0,00;;;;;PGR;;
AR110011;4;24;El joven Lennon;GA. 79 EL JOVEN LENNON-ED.ANIVERSARIO;;;13;;AUT;2469;2469;14;;;499;;;;3;;;9788467505580;9788467505580;1;17;28;176;21,00;13,00;1,30;38,50;38,50;0,00;;;;;PGR;;
AR110301;4;6;Gramática de uso del español: Teoría y práctica A1-B2;GRAMATICA DE USO DEL ESPAÑOL 05;;;13;;AUT,AUT;4351,5938;4351,5938;16;;;;;;;;;;9788434893511;9788434893511;1;10;11;286;29,00;21,00;1,80;138,00;138,00;;;;;;ELE;;
AR110374;4;24;Abel regala soles;BVPC.80 ABEL REGALA SOLES;;;13;;AUT;4811;4811;5;;;333;;;;4;;;9788467505214;9788467505214;2;17;40;34;20,00;15,50;0,70;32,00;32,00;0,00;;;;;PGR;;
