AR113950;4;24;Un regalo del cielo;UN REGALO DEL CIELO;;;13;;AUT,ILU;
AR114470;4;24;El castillo del miedo;EL CASTILLO DEL MIEDO;;;13;;AUT,ILU,TRA;
AR114471;4;24;Mi libro mágico para dibujar con Lupe;MI LIBRO MAGICO PARA DIBUJAR CON LUPE;;;13;;AUT,TRA;
AR114729;4;1;Ortografía Escolar;ORTOGRAFIA ESCOLAR 07;;;13;;AUT;
AR114730;4;1;Ortografía de uso del español actual;ORTOGRAFIA DE USO DEL ESPAÑOL;Colección Gómez Torrego;;13;;AUT;
AR114827;4;24;La invención de Hugo Cabret;LA INVENCION DE HUGO CABRET;;;13;;AUT;
AR115014;4;24;Cuando estoy triste;S.CUANDO ESTOY TRISTE;;;13;;AUT,TRA;
AR115015;4;24;Cuando estoy contento;S.CUANDO ESTOY CONTENTO;;;13;;AUT,TRA;
AR115029;4;24;Cuando tengo miedo;S.CUANDO TENGO MIEDO;;;13;;AUT,TRA;
AR115091;4;4;Itinerario para una espiritualidad de la ternura;PAP. 6 ITINERARIO PARA UNA ESPIRITUALIDA;;;13;;AUT,AUT,ILU;
AR115371;4;24;El Club de los Valientes;CPSE.EL CLUB DE LOS VALIENTES;;;13;;AUT,ILU;
AR116340;4;24;La obra;BVN.198 LA OBRA;;;13;;AUT,ILU;
AR116697;4;6;Gramática de uso del Español. A1-A2;GRAMATICA DE USO DEL ESPAÑOL NIVEL A 09;Teoría y práctica, con solucionario;;13;;AUT,AUT,ILU;
AR116698;4;6;Gramática de uso del Español. B1-B2;GRAMATICA DE USO DEL ESPAÑOL NIVEL B 09;Teoría y práctica con solucionario;;13;;AUT,AUT;
AR117006;4;24;La puerta oscura I. El viajero;LA PUERTA OSCURA-EL VIAJERO;;;13;;AUT;
AR117009;4;24;Siete cuentos crudos;CUENTOS CRUDOS;Aunque este no sea un buen sitio para nacer;;13;;AUT,ILU;
AR117030;4;6;Aula Amigos 1  Internacional. Cuaderno Actividades;ELE.CUAD.AULA AMIGOS 1 07;;;13;;AUT,AUT,AUT;
AR117031;4;6;Aula Amigos 2 Internacional. Cuaderno Actividades;ELE.CUAD.AULA AMIGOS 2 07;;;13;;AUT,AUT,AUT;
AR117032;4;6;Aula Amigos 3 Internacional. Cuaderno Actividades;ELE.CUAD.AULA AMIGOS 3 07;;;13;;AUT,AUT,AUT;
AR117034;4;4;¿Es posible hablar de Dios?;SA.160 ES POSIBLE HABLAR DE DIOS;;;13;;AUT,TRA;
AR117264;4;24;El palacio de los cuatro tesoros;EL PALACIO DE LOS CUATRO TESOROS;;;13;;AUT,ILU;
AR117265;4;24;Cuando estoy celoso;S.CUANDO ESTOY CELOSO;;;13;;AUT,ILU,TRA;
AR117266;4;24;Cuando me siento querido;S.CUANDO ME SIENTO QUERIDO;;;13;;AUT,ILU,TRA;
AR117267;4;24;El jardín de Lupe;GL.EL JARDIN DE LUPE;;;13;;AUT;
AR117272;4;24;El osito de peluche y los animales;EL OSITO DE PELUCHE Y LOS ANIMALES;;;13;;AUT,ILU;
AR117383;4;6;Aula Amigos 1 Internacional. Pack alumno;ELE.AULA AMIGOS 1 LIBRO DEL ALUMNO 07;;;13;;AUT,AUT,AUT;
AR117384;4;6;Aula Amigos 1 Internacional. Guía didáctica. RRDD;ELE.RD.AULA AMIGOS 1 07;;;13;;AUT,AUT,AUT;
AR117385;4;6;Aula Amigos 2 Internacional. Pack alumno;ELE.PACK ALUMNO AULA AMIGOS 2;;;13;;AUT,AUT,AUT;
AR117386;4;6;Aula Amigos 2 Internacional. RRDD;ELE.RD.AULA AMIGOS 2 07;;;13;;AUT,AUT,AUT;
AR117512;4;24;Morris, quiero una pesadilla;BVBMO. 1 MORRIS,QUIERO UNA PESADILLA;;;13;;AUT,ILU,PER;
AR117513;4;24;Morris, ¡es mi cumpleaños!;BVBMO. 2 MORRIS,¡ES MI CUMPLEAÑOS!;;;13;;AUT,ILU,PER;
AR117534;4;6;Vocabulario: de las palabras al texto. A1;VOCABULARIO.DE LAS PALABRAS AL TXT A1 08;;;13;;AUT;
AR117535;4;6;Vocabulario A2. De las palabras al texto;VOCABULARIO.DE LAS PALABRAS AL;;;13;;AUT;
AR117839;4;24;El diamante oscuro;GALAN.1 EL DIAMANTE OSCURO;;;13;;AUT;
AR117841;4;24;El hombre que quería recordar;GALAN.3 EL HOMBRE QUE QUERIA RECORDAR;;;13;;AUT;
AR117980;4;4;El Sermón de la montaña;SA.156 SERMON DE LA MONTAÑA;;;13;;AUT,TRA,TRA;
AR118078;4;4;Hacia un nuevo paradigma de la iniciación cristiana hoy;DJ. 9 HACIA UN NUEVO PARADIGMA DE LA INI;;;13;;AUT;
AR118129;4;4;A la sombra del árbol;SA.157 A LA SOMBRA DEL ARBOL;;;13;;AUT,AUT,PRO;
AR118130;4;4;Semillas de luz;SA.158 SEMILLAS DE LUZ;;;13;;AUT;
AR118152;4;4;Francisco de Asís y la vida religiosa;FA. 6 FRANCISCO Y LA VIDA RELIGIOSA;;;13;;AUT;
AR118153;4;4;Francisco de Asís y el respeto a la vida;FA. 7 FRANCISCO Y EL RESPETO A LA VIDA;;;13;;AUT;
